customer_id,name,phone_number,email,default_payment_method
1,Customer-1,5550000001,customer1@example.com,credit_card
2,Customer-2,5550000002,customer2@example.com,credit_card
3,Customer-3,5550000003,customer3@example.com,paypal
4,Customer-4,5550000004,customer4@example.com,paypal
5,Customer-5,5550000005,customer5@example.com,cash
6,Customer-6,5550000006,customer6@example.com,paypal
7,Customer-7,5550000007,customer7@example.com,credit_card
8,Customer-8,5550000008,customer8@example.com,cash
9,Customer-9,5550000009,customer9@example.com,cash
10,Customer-10,5550000010,customer10@example.com,paypal
11,Customer-11,5550000011,customer11@example.com,paypal
12,Customer-12,5550000012,customer12@example.com,paypal
13,Customer-13,5550000013,customer13@example.com,credit_card
14,Customer-14,5550000014,customer14@example.com,cash
15,Customer-15,5550000015,customer15@example.com,paypal
16,Customer-16,5550000016,customer16@example.com,credit_card
17,Customer-17,5550000017,customer17@example.com,credit_card
18,Customer-18,5550000018,customer18@example.com,paypal
19,Customer-19,5550000019,customer19@example.com,cash
20,Customer-20,5550000020,customer20@example.com,credit_card
21,Customer-21,5550000021,customer21@example.com,paypal
22,Customer-22,5550000022,customer22@example.com,paypal
23,Customer-23,5550000023,customer23@example.com,cash
24,Customer-24,5550000024,customer24@example.com,cash
25,Customer-25,5550000025,customer25@example.com,paypal
26,Customer-26,5550000026,customer26@example.com,credit_card
27,Customer-27,5550000027,customer27@example.com,cash
28,Customer-28,5550000028,customer28@example.com,paypal
29,Customer-29,5550000029,customer29@example.com,credit_card
30,Customer-30,5550000030,customer30@example.com,cash
31,Customer-31,5550000031,customer31@example.com,paypal
32,Customer-32,5550000032,customer32@example.com,cash
33,Customer-33,5550000033,customer33@example.com,credit_card
34,Customer-34,5550000034,customer34@example.com,paypal
35,Customer-35,5550000035,customer35@example.com,paypal
36,Customer-36,5550000036,customer36@example.com,paypal
37,Customer-37,5550000037,customer37@example.com,cash
38,Customer-38,5550000038,customer38@example.com,paypal
39,Customer-39,5550000039,customer39@example.com,credit_card
40,Customer-40,5550000040,customer40@example.com,credit_card
41,Customer-41,5550000041,customer41@example.com,paypal
42,Customer-42,5550000042,customer42@example.com,paypal
43,Customer-43,5550000043,customer43@example.com,cash
44,Customer-44,5550000044,customer44@example.com,paypal
45,Customer-45,5550000045,customer45@example.com,cash
